delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
2.990408962122437e-11 1.4820191514969272e-12 2.7766225083047935e-11 7.457553454978672e-13 1.3705789569939952e-05 50 15
3.746718213459843e-11 1.5151473825580908e-12 3.3971891272299715e-11 1.0444220358354905e-12 1.3712869986193255e-05 50 20
4.4751428257550074e-11 2.3892858178053977e-12 3.980914209389397e-11 1.7316313313808784e-12 1.3717150068259798e-05 50 25
5.1164263797920384e-11 2.4629963867039972e-12 4.535967088048487e-11 1.7405230902378666e-12 1.3720010429096874e-05 50 30
5.908042804980695e-11 2.5825791158395894e-12 5.202317743258078e-11 2.0113275194660885e-12 1.3721680261369329e-05 50 35
6.641808630858392e-11 2.8904383227168484e-12 5.836205824172325e-11 2.379058105031473e-12 1.3722789844905492e-05 50 40
7.348965880282776e-11 3.623715693831797e-12 6.472820196501416e-11 2.89270994310864e-12 1.3723540178034455e-05 50 45
2.923402839249967e-11 1.1894826486627541e-12 2.7952619385818167e-11 6.913534957193879e-13 1.257683015865041e-05 55 15
3.667052425604389e-11 1.7396855440596215e-12 3.359013414638845e-11 1.2544385018589677e-12 1.2584019714267924e-05 55 20
4.328312708246074e-11 2.2866270509014353e-12 3.906254833485612e-11 1.6446205291717475e-12 1.2588559911819175e-05 55 25
5.05240814463459e-11 2.3367388753137153e-12 4.549524645902636e-11 1.8283300221022536e-12 1.2591120139404666e-05 55 30
5.7700299399554567e-11 2.97054026342225e-12 5.180461268294856e-11 2.4936480831627694e-12 1.2592890016094316e-05 55 35
6.500576466006436e-11 3.0161227248387545e-12 5.821640391978633e-11 2.4600785818174042e-12 1.2594069630722515e-05 55 40
7.236785476427698e-11 3.2894982310988086e-12 6.476214703399208e-11 2.722137836322358e-12 1.2594829968293197e-05 55 45
2.8529902398877205e-11 2.002128064032549e-12 2.8551334907422898e-11 1.1394618972329629e-12 1.159939984063385e-05 60 15
3.584681856905192e-11 2.0259397458255446e-12 3.4895687034408596e-11 1.1865434849933632e-12 1.1605879990383983e-05 60 20
4.307211531884292e-11 2.302490229727505e-12 4.1065897210534885e-11 1.6531705475039682e-12 1.16094797704136e-05 60 25
5.014253942614566e-11 2.7168560370188777e-12 4.688379892647809e-11 1.9879688173407573e-12 1.161203999799909e-05 60 30
5.718499285212175e-11 2.892087394221199e-12 5.2930035354670224e-11 2.10133581542149e-12 1.161360978585435e-05 60 35
6.447135186826713e-11 2.8957997024597892e-12 5.930353430549928e-11 2.2333213837294474e-12 1.161462023446802e-05 60 40
7.178171251842613e-11 3.812313745937823e-12 6.552267756143593e-11 2.8264519631032714e-12 1.1615329640335403e-05 60 45
2.7641031824510165e-11 1.6275148546560092e-12 2.888644358434167e-11 9.500593671149526e-13 1.0771160305012017e-05 65 15
3.4577177926431446e-11 2.32184172062333e-12 3.4009843552507135e-11 1.4428577690267508e-12 1.0777470379252918e-05 65 20
4.1301007752680974e-11 1.807260396023691e-12 3.978854051789327e-11 1.2031594253877897e-12 1.0780860066006426e-05 65 25
4.891577073951048e-11 2.421714304784439e-12 4.6084518146027875e-11 1.962546444800317e-12 1.0783250218082685e-05 65 30
5.605721095647276e-11 2.781906866325401e-12 5.2304292841309774e-11 2.3229486910414376e-12 1.0784799997054506e-05 65 35
6.325839158050073e-11 3.1464264787367524e-12 5.866435115464697e-11 2.4966875355331153e-12 1.0785770427901298e-05 65 40
7.060026868677127e-11 3.321847788159693e-12 6.513620198767e-11 2.7468964602928025e-12 1.0786459824885242e-05 65 45
2.6569186087344043e-11 1.9972105566590237e-12 2.879519712950529e-11 1.3304508319697539e-12 1.0054770427814219e-05 70 15
3.316727101299044e-11 1.921076795904919e-12 3.452600011444318e-11 1.1400925776366977e-12 1.0060300155600999e-05 70 20
4.0795301164964215e-11 2.4801020612197355e-12 4.116451970959112e-11 1.6754007035879592e-12 1.0064140042231884e-05 70 25
4.7341953274271376e-11 2.5644961414855727e-12 4.681739024237075e-11 1.953620208314244e-12 1.006640013656579e-05 70 30
5.5206315213718327e-11 3.071215807712302e-12 5.3413974632210426e-11 2.322593289569297e-12 1.0067829862236977e-05 70 35
6.19581885796805e-11 2.9710090724416327e-12 5.94206003845521e-11 2.293868003530597e-12 1.0068870324175805e-05 70 40
6.956085013554159e-11 3.5645113163201847e-12 6.591959617052723e-11 2.7719541072224185e-12 1.0069559721159749e-05 70 45
2.5041120219060353e-11 2.009313722350914e-12 2.9079683105948106e-11 1.0075861586050783e-12 9.423827577847987e-06 75 15
3.226022227131864e-11 1.6901756686935054e-12 3.495382108753553e-11 9.83226737874543e-13 9.428980774828233e-06 75 20
3.9778874638685124e-11 2.2254765304902113e-12 4.0795214428790416e-11 1.495658089566143e-12 9.432495971850585e-06 75 25
4.63820301610518e-11 2.59737045239794e-12 4.632338609922293e-11 1.7847090992562098e-12 9.43471968639642e-06 75 30
5.344229225823227e-11 2.935651721713839e-12 5.235749681031798e-11 2.100406220478801e-12 9.436060281586833e-06 75 35
6.135295049780609e-11 3.0486108429372827e-12 5.916207801437423e-11 2.419260972108539e-12 9.437039807380643e-06 75 40
6.847377526097986e-11 3.455574151475793e-12 6.539611213662866e-11 2.848858518880726e-12 9.437709195481148e-06 75 45
2.3582767683105743e-11 1.9363952715595323e-12 2.866334253281977e-11 9.66020015716329e-13 8.862793038133532e-06 80 15
3.126315525903145e-11 1.7921362093983872e-12 3.4937705506443706e-11 1.1705863058389387e-12 8.868253644322976e-06 80 20
3.876983456496674e-11 2.4132750919142465e-12 4.12762810042544e-11 1.7556304717294968e-12 8.871442332747392e-06 80 25
4.5397737652441705e-11 2.870684809655466e-12 4.709287473869672e-11 2.0233131576424812e-12 8.873330443748273e-06 80 30
5.253850826614226e-11 2.9257748567629305e-12 5.344742010082726e-11 2.2105295024998917e-12 8.8747292465996e-06 80 35
5.974689493148944e-11 3.3685556514312376e-12 5.96878796388367e-11 2.685672864655153e-12 8.875625098880846e-06 80 40
6.7363892242156e-11 4.031256665287808e-12 6.628764204208437e-11 3.040036321635964e-12 8.876229912857525e-06 80 45
