buffer_load(fF)            input_slew            output_slew
2.8000000525086298e-14 50 50
2.8000000525086298e-14 50 55
2.8000000525086298e-14 50 60
2.8000000525086298e-14 50 65
2.8000000525086298e-14 50 70
2.8000000525086298e-14 50 75
2.8000000525086298e-14 50 80
2.8000000525086298e-14 55 50
2.8000000525086298e-14 55 55
2.8000000525086298e-14 55 60
2.8000000525086298e-14 55 65
2.8000000525086298e-14 55 70
2.8000000525086298e-14 55 75
2.8000000525086298e-14 55 80
2.8000000525086298e-14 60 50
2.8000000525086298e-14 60 55
2.8000000525086298e-14 60 60
2.8000000525086298e-14 60 65
2.8000000525086298e-14 60 70
2.8000000525086298e-14 60 75
2.8000000525086298e-14 60 80
2.8000000525086298e-14 65 50
2.8000000525086298e-14 65 55
2.8000000525086298e-14 65 60
2.8000000525086298e-14 65 65
2.8000000525086298e-14 65 70
2.8000000525086298e-14 65 75
2.8000000525086298e-14 65 80
2.8000000525086298e-14 70 50
2.8000000525086298e-14 70 55
2.8000000525086298e-14 70 60
2.8000000525086298e-14 70 65
2.8000000525086298e-14 70 70
2.8000000525086298e-14 70 75
2.8000000525086298e-14 70 80
2.8000000525086298e-14 75 50
2.8000000525086298e-14 75 55
2.8000000525086298e-14 75 60
2.8000000525086298e-14 75 65
2.8000000525086298e-14 75 70
2.8000000525086298e-14 75 75
2.8000000525086298e-14 75 80
2.8000000525086298e-14 80 50
2.8000000525086298e-14 80 55
2.8000000525086298e-14 80 60
2.8000000525086298e-14 80 65
2.8000000525086298e-14 80 70
2.8000000525086298e-14 80 75
2.8000000525086298e-14 80 80
