buffer_load(fF)            input_slew            output_slew
0.0 50 50
0.0 50 55
0.0 50 60
0.0 50 65
0.0 50 70
0.0 50 75
0.0 50 80
0.0 55 50
0.0 55 55
0.0 55 60
0.0 55 65
0.0 55 70
0.0 55 75
0.0 55 80
0.0 60 50
0.0 60 55
0.0 60 60
0.0 60 65
0.0 60 70
0.0 60 75
0.0 60 80
0.0 65 50
0.0 65 55
0.0 65 60
0.0 65 65
0.0 65 70
0.0 65 75
0.0 65 80
0.0 70 50
0.0 70 55
0.0 70 60
0.0 70 65
0.0 70 70
0.0 70 75
0.0 70 80
0.0 75 50
0.0 75 55
0.0 75 60
0.0 75 65
0.0 75 70
0.0 75 75
0.0 75 80
0.0 80 50
0.0 80 55
0.0 80 60
0.0 80 65
0.0 80 70
0.0 80 75
0.0 80 80
