delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
5.40634724488509e-11 1.232370325579546e-12 2.6416348275493107e-11 8.49983115575742e-13 1.3705789569939952e-05 50 15
5.5398415022001046e-11 1.2889013857944609e-12 3.1760274965542123e-11 7.391063672548825e-13 1.3712869986193255e-05 50 20
5.622585036446637e-11 1.1776680975891796e-12 3.695847447526823e-11 1.148359727622117e-12 1.3717150068259798e-05 50 25
5.713105682980668e-11 1.0255839146683376e-12 4.2015585455246196e-11 1.3955611839755466e-12 1.3720010429096874e-05 50 30
5.7883163540051186e-11 9.45314464727287e-13 4.744668546941e-11 1.4374473833456136e-12 1.3721680261369329e-05 50 35
5.850482598379614e-11 8.926363337727339e-13 5.2960958535352987e-11 1.9562695647429296e-12 1.3722789844905492e-05 50 40
5.891612891995024e-11 8.895520496425557e-13 5.8020886706255936e-11 2.0395154749081046e-12 1.3723540178034455e-05 50 45
5.83546891363973e-11 1.0532387679021427e-12 2.6121736718121014e-11 5.873705384920602e-13 1.257683015865041e-05 55 15
5.952264375830296e-11 8.259055331999443e-13 3.127003170289022e-11 1.3612235253909755e-12 1.2584019714267924e-05 55 20
6.026958793148296e-11 8.335260107995845e-13 3.6565347971695417e-11 1.0756672245634813e-12 1.2588559911819175e-05 55 25
6.081972425686644e-11 8.333840345250976e-13 4.2074028289151855e-11 1.64414835912563e-12 1.2591120139404666e-05 55 30
6.166812199781546e-11 8.531463838341857e-13 4.758655622327801e-11 1.6694001866643382e-12 1.2592890016094316e-05 55 35
6.236157423789024e-11 8.869406945000158e-13 5.340470773940176e-11 2.00991046722665e-12 1.2594069630722515e-05 55 40
6.299549076826949e-11 8.009461691972641e-13 5.919901374662473e-11 2.0326394647302015e-12 1.2594829968293197e-05 55 45
6.15596879027791e-11 8.845607623111928e-13 2.6661086532930867e-11 8.256473846626755e-13 1.159939984063385e-05 60 15
6.262813184720883e-11 1.0457805411576149e-12 3.2256128323915334e-11 7.027140371332341e-13 1.1605879990383983e-05 60 20
6.358735066269716e-11 1.315926859667138e-12 3.7346764569790025e-11 1.3077122934870844e-12 1.16094797704136e-05 60 25
6.455677659111814e-11 1.3184745179320445e-12 4.2329278970854034e-11 1.2104466734497166e-12 1.161203999799909e-05 60 30
6.546783254401944e-11 1.4603724046019506e-12 4.7680918241477244e-11 1.6115214631490238e-12 1.161360978585435e-05 60 35
6.656822315598276e-11 1.5067563082643565e-12 5.3140925687644724e-11 1.9228564053508368e-12 1.161462023446802e-05 60 40
6.728598234140293e-11 1.3753991435355717e-12 5.869348757014947e-11 2.1112738293749267e-12 1.1615329640335403e-05 60 45
6.590546858253887e-11 1.5051642657942788e-12 2.6744512854337543e-11 5.779431837618643e-13 1.0771160305012017e-05 65 15
