delay(miu)            delay(sigma)            slew(miu)            slew(sigma)            power            input_slew            output_cap
2.9971546078311206e-11 1.4115318072369099e-12 -1.972046304032915e-09 8.233748426990373e-13 1.3705789569939952e-05 50 15
3.7503219280088373e-11 1.7165031332075364e-12 -1.9657953043150656e-09 1.2037930331373903e-12 1.3712869986193255e-05 50 20
4.476606932368732e-11 2.307292811670747e-12 -1.9598784817276282e-09 1.7727962110455908e-12 1.3717150068259798e-05 50 25
5.16398833416698e-11 2.5370196395091416e-12 -1.9541648299536973e-09 1.6551147388396692e-12 1.3720010429096874e-05 50 30
5.91080448475445e-11 2.75464156693217e-12 -1.9476669166351712e-09 2.1497517307955682e-12 1.3721680261369329e-05 50 35
6.612940750549967e-11 2.9377802274188625e-12 -1.9416921404058485e-09 2.452191444693441e-12 1.3722789844905492e-05 50 40
7.32883337350998e-11 3.5416175200864153e-12 -1.935548166187573e-09 2.755128373707616e-12 1.3723540178034455e-05 50 45
2.9283433317095486e-11 1.0604100063316135e-12 -1.971933949462823e-09 6.785510738363532e-13 1.257683015865041e-05 55 15
3.678467946910402e-11 1.5983057976079462e-12 -1.9663766170907593e-09 1.2503813089093097e-12 1.2584019714267924e-05 55 20
4.332882663771187e-11 2.2369545452094464e-12 -1.9608306089935468e-09 1.6369798312015904e-12 1.2588559911819175e-05 55 25
5.040605433048739e-11 2.243746638139199e-12 -1.9545229879014414e-09 1.7434671328170337e-12 1.2591120139404666e-05 55 30
5.793772406281761e-11 2.692520902417006e-12 -1.9479005075595524e-09 2.3246109898122924e-12 1.2592890016094316e-05 55 35
6.481051806339622e-11 3.222928868229502e-12 -1.9417569774304866e-09 2.7564437277832754e-12 1.2594069630722515e-05 55 40
7.268820267913867e-11 3.4265951621287316e-12 -1.934762572375348e-09 2.836684012685886e-12 1.2594829968293197e-05 55 45
2.8343683303178047e-11 2.025600607385991e-12 -1.971492302743627e-09 1.2208690005136025e-12 1.159939984063385e-05 60 15
3.5565491524058856e-11 1.8193868720622897e-12 -1.9652914851064907e-09 1.0248081680139243e-12 1.1605879990383983e-05 60 20
4.3145948619427443e-11 1.9966090412937287e-12 -1.9589663224905962e-09 1.4552054223085364e-12 1.16094797704136e-05 60 25
5.010673126415455e-11 2.566165162309897e-12 -1.9531514183768195e-09 1.870573140827503e-12 1.161203999799909e-05 60 30
5.72692518407969e-11 2.8511780610085413e-12 -1.946989902634755e-09 1.98211867925846e-12 1.161360978585435e-05 60 35
6.437714250573379e-11 2.8254102616559473e-12 -1.9406516393871698e-09 2.199711116382397e-12 1.161462023446802e-05 60 40
7.147136354967998e-11 3.3777932707812486e-12 -1.9347798918545323e-09 2.5114123020780754e-12 1.1615329640335403e-05 60 45
2.7698097287975898e-11 1.5887010674023316e-12 -1.971116381227489e-09 9.22807294988226e-13 1.0771160305012017e-05 65 15
3.4252611164076185e-11 2.140785378829113e-12 -1.9661501315937358e-09 1.339948876681596e-12 1.0777470379252918e-05 65 20
4.134996511861999e-11 1.911549044053551e-12 -1.9602426348797053e-09 1.3258525137158084e-12 1.0780860066006426e-05 65 25
4.874891115780322e-11 2.385373149005332e-12 -1.9539987405892134e-09 1.851366499341922e-12 1.0783250218082685e-05 65 30
5.6204214893273985e-11 2.9644680807350277e-12 -1.9476802393114667e-09 2.420704478880986e-12 1.0784799997054506e-05 65 35
6.298441629359885e-11 3.2799466267996458e-12 -1.9415147267665134e-09 2.6911931884365803e-12 1.0785770427901298e-05 65 40
7.063304802157333e-11 3.5217727172021096e-12 -1.93468285836218e-09 2.8908993254805893e-12 1.0786459824885242e-05 65 45
2.632579050587669e-11 2.087207360071397e-12 -1.971270036094097e-09 1.3973438291875473e-12 1.0054770427814219e-05 70 15
3.3172999069908116e-11 2.0550963274884593e-12 -1.9653372262951052e-09 1.2415280392294448e-12 1.0060300155600999e-05 70 20
4.062307781826924e-11 2.0753652702626413e-12 -1.95895477617114e-09 1.4103284512456682e-12 1.0064140042231884e-05 70 25
4.7690632692942714e-11 2.5911293510122446e-12 -1.952883410538675e-09 2.016798186788016e-12 1.006640013656579e-05 70 30
5.4617296796344306e-11 2.9479426712220036e-12 -1.9470411949384925e-09 2.0968337743204613e-12 1.0067829862236977e-05 70 35
6.193458940151331e-11 3.1070345948847056e-12 -1.9405954621021237e-09 2.3474095930953176e-12 1.0068870324175805e-05 70 40
6.916263395329025e-11 3.4822734973349867e-12 -1.934437054984528e-09 2.8300773183276284e-12 1.0069559721159749e-05 70 45
2.5152794777549836e-11 2.091476948226645e-12 -1.9707979692640265e-09 1.0680523306050294e-12 9.423827577847987e-06 75 15
3.220019736960289e-11 1.709394886924287e-12 -1.9649513127717455e-09 1.0629884559382186e-12 9.428980774828233e-06 75 20
3.977293147605643e-11 2.114082346682533e-12 -1.959230555570457e-09 1.5023949966053163e-12 9.432495971850585e-06 75 25
4.676322523655685e-11 2.6698988072476615e-12 -1.9534835971057873e-09 1.8556955017762222e-12 9.43471968639642e-06 75 30
5.414446321849731e-11 2.794986247653397e-12 -1.9471411150107087e-09 1.9916002440972802e-12 9.436060281586833e-06 75 35
6.115633000014498e-11 2.8511650505824715e-12 -1.940949845291584e-09 2.3886830013974958e-12 9.437039807380643e-06 75 40
6.83784695532097e-11 3.720342176688485e-12 -1.9346964030830804e-09 2.9830964087818046e-12 9.437709195481148e-06 75 45
2.383034915232063e-11 1.8320199957760908e-12 -1.9713377596985993e-09 9.666375772737767e-13 8.862793038133532e-06 80 15
3.093407821563865e-11 1.98513471286188e-12 -1.9651289484556855e-09 1.2638166338105328e-12 8.868253644322976e-06 80 20
3.8574053673468e-11 2.382322204091958e-12 -1.958875284202577e-09 1.8035534003757459e-12 8.871442332747392e-06 80 25
4.5576889484699734e-11 2.7259065230739177e-12 -1.9527275352260176e-09 1.866646377399195e-12 8.873330443748273e-06 80 30
5.229171262666199e-11 2.8528284335554988e-12 -1.9466999123807227e-09 2.0543907287146057e-12 8.8747292465996e-06 80 35
5.979539779987775e-11 3.4483030580262364e-12 -1.94034011080646e-09 2.604007287576593e-12 8.875625098880846e-06 80 40
6.682669695390331e-11 3.726026431838392e-12 -1.9341535040240387e-09 2.825768698894171e-12 8.876229912857525e-06 80 45
